Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Route,Total_Stops,Journey_day,Journey_month,Journey_weekday,Arrival_minutes,Duration_minutes,Price
0,0,1,0,0,0,0,0,0,0,1532,0,24,3,6,0.204405185,-1.010867524,3897
1,0,0,0,0,0,0,0,0,0,6,2,1,5,2,-1.000914589,-0.181490219,7662
0,0,0,1,0,0,0,0,0,0,41,2,9,6,6,0.53312876,1.122688159,13882
0,0,1,0,0,0,0,0,0,0,9,1,12,5,6,0.035828993,-0.497245704,6218
0,0,1,0,0,0,0,0,0,0,3,1,1,3,4,-0.158033628,-0.615199858,13302
0,0,0,0,0,0,1,0,0,0,723,0,24,6,0,-1.186348401,-1.113482759,3873
0,0,0,1,0,0,0,0,0,0,341,1,12,3,1,1.140003052,0.786270047,11087
0,0,0,1,0,0,0,0,0,0,341,1,1,3,4,0.600559236,1.308290578,22270
0,0,0,1,0,0,0,0,0,0,341,1,12,3,1,1.140003052,1.673573178,11087
0,0,0,0,1,0,0,0,0,0,2368,1,27,5,0,-0.394040298,-0.121323773,8625
1,0,0,0,0,0,0,0,0,0,231,1,1,6,5,-0.014743865,0.549483601,8907
0,0,1,0,0,0,0,0,0,0,723,0,18,4,3,-0.023172675,-1.07145037,4174
1,0,0,0,0,0,0,0,0,0,381,0,24,6,0,-0.933484113,-1.156991311,4667
0,0,0,1,0,0,0,0,0,0,979,1,9,5,3,1.030428527,0.428295079,9663
0,0,1,0,0,0,0,0,0,0,723,0,24,4,2,-0.33503863,-1.07145037,4804
1,0,0,0,0,0,0,0,0,0,132,2,3,3,6,2.03345687,1.758217181,14011
0,0,0,0,0,0,1,0,0,0,42,1,15,4,0,-1.000914589,-0.661551892,5830
0,0,0,1,0,0,0,0,0,0,2368,1,12,6,2,1.359152101,1.436299521,10262
1,0,0,0,0,0,0,0,0,0,43,2,12,6,2,2.03345687,1.471097197,13381
0,0,0,1,0,0,0,0,0,0,2368,1,27,5,0,1.359152101,1.264614521,12898
0,1,0,0,0,0,0,0,0,0,2368,1,6,3,2,-0.385611488,-0.540578734,19495
1,0,0,0,0,0,0,0,0,0,15,1,21,3,3,1.435011388,0.769346161,6955
0,0,1,0,0,0,0,0,0,0,1532,0,3,4,2,-1.649932929,-1.010867524,3943
0,0,1,0,0,0,0,0,0,0,1532,0,1,5,2,-0.1327472,-0.99127203,4823
0,0,0,1,0,0,0,0,0,0,979,1,6,5,0,0.920854002,0.558596877,7757
0,0,0,1,0,0,0,0,0,0,79,2,9,6,6,1.359152101,0.752330045,13292
0,0,1,0,0,0,0,0,0,0,17,1,1,6,5,0.448840663,-0.440995339,8238
0,1,0,0,0,0,0,0,0,0,2368,1,15,5,2,-1.034629828,-0.413481802,7682
0,0,0,0,0,0,0,0,1,0,1532,0,18,6,1,-1.068345066,-1.010867524,4668
0,0,0,0,0,0,0,0,1,0,381,0,15,6,5,-1.397068641,-1.156991311,3687
0,0,0,0,0,0,0,0,1,0,381,0,18,6,1,-1.397068641,-1.156991311,3687
1,0,0,0,0,0,0,0,0,0,36,2,1,5,2,0.010542564,0.567681719,13227
0,0,1,0,0,0,0,0,0,0,1532,0,6,4,5,-1.649932929,-1.010867524,4423
0,0,0,1,0,0,0,0,0,0,40,2,15,6,5,1.359152101,1.387038909,10919
0,0,0,1,0,0,0,0,0,0,2368,1,18,5,5,-1.068345066,-0.483024483,12373
0,0,1,0,0,0,0,0,0,0,2368,1,27,6,3,-0.217035296,0.220502166,5894
0,0,0,0,0,0,1,0,0,0,65,1,21,5,1,-0.284465773,-0.526020193,4649
1,0,0,0,0,0,0,0,0,0,723,0,18,5,5,-0.646904586,-1.092291393,6245
0,0,0,1,0,0,0,0,0,0,341,1,6,3,2,-1.000914589,-0.359593601,19225
0,0,0,1,0,0,0,0,0,0,2368,1,3,6,0,-0.419326726,0.399570905,14924
0,0,0,0,1,0,0,0,0,0,326,1,21,5,1,-0.503614822,0.301579921,9646
1,0,0,0,0,0,0,0,0,0,341,1,15,3,4,-0.798623159,-0.028294032,8714
0,0,0,1,0,0,0,0,0,0,2368,1,18,5,5,2.008170441,1.394115787,12373
0,0,0,0,0,0,0,0,0,0,1532,0,6,5,0,-0.933484113,-1.030753369,3383
0,0,0,0,1,0,0,0,0,0,2368,1,21,3,3,-0.217035296,0.409178819,13062
0,0,0,0,0,0,1,0,0,0,1532,0,24,3,6,-1.472927928,-1.010867524,3527
0,0,1,0,0,0,0,0,0,0,1532,0,27,5,0,-1.649932929,-1.010867524,3943
1,0,0,0,0,0,0,0,0,0,381,0,3,5,4,-0.933484113,-1.156991311,4667
1,0,0,0,0,0,0,0,0,0,53,1,15,5,2,1.207433528,0.844798402,6117
0,0,0,1,0,0,0,0,0,0,132,2,27,6,3,2.008170441,1.205546023,11150
0,0,0,1,0,0,0,0,0,0,213,0,9,3,5,-0.899768874,-0.91555871,7202
0,0,0,1,0,0,0,0,0,0,565,1,1,5,2,1.190575909,1.660392582,12121
0,0,1,0,0,0,0,0,0,0,1532,0,24,3,6,0.204405185,-1.010867524,4377
0,0,1,0,0,0,0,0,0,0,1532,0,18,6,1,0.111688279,-0.971954528,3943
0,0,0,0,0,0,0,0,0,0,1532,0,3,4,2,0.364552567,-1.010867524,4483
0,0,0,1,0,0,0,0,0,0,979,1,24,3,6,1.300150434,0.861325056,14231
1,0,0,0,0,0,0,0,0,0,3,2,1,3,4,0.077973041,0.743786926,17345
0,0,0,0,0,0,0,0,1,0,381,0,6,3,2,-1.397068641,-1.156991311,7414
0,0,0,0,1,0,0,0,0,0,2368,1,6,5,0,0.238120423,-0.320114634,8073
0,0,0,0,0,0,0,0,1,0,33,1,6,3,2,1.780592582,1.640540125,12395
1,0,0,0,0,0,0,0,0,0,979,1,6,6,3,-0.1327472,0.456725627,8366
1,0,0,0,0,0,0,0,0,0,145,1,3,4,2,1.038857336,1.815810252,5117
0,0,0,0,1,0,0,0,0,0,2368,1,3,6,0,-0.419326726,0.199830426,12524
0,0,1,0,0,0,0,0,0,0,2368,1,15,5,2,0.238120423,0.23077602,7191
0,0,0,0,0,0,0,0,1,0,381,0,24,5,4,-1.397068641,-1.156991311,3687
0,0,1,0,0,0,0,0,0,0,2368,1,24,6,0,-0.217035296,0.220502166,5894
0,0,0,0,0,0,0,0,1,0,1532,0,24,4,2,-1.068345066,-1.010867524,5403
1,0,0,0,0,0,0,0,0,0,621,0,6,5,0,-0.78176554,-1.37647912,3625
1,0,0,0,0,0,0,0,0,0,45,2,21,5,1,-0.394040298,0.558596877,10861
0,0,1,0,0,0,0,0,0,0,381,0,12,3,1,-0.76490792,-1.156991311,6297
0,0,0,1,0,0,0,0,0,0,621,0,1,6,5,-1.481356737,-1.403994763,5678
0,0,0,1,0,0,0,0,0,0,341,1,9,3,5,0.920854002,1.751768071,9134
0,0,0,0,1,0,0,0,0,0,2368,1,24,6,0,-0.419326726,-0.19372467,10791
0,0,0,1,0,0,0,0,0,0,132,2,24,6,0,1.359152101,0.576738391,12819
0,0,1,0,0,0,0,0,0,0,231,1,21,3,3,-1.321209355,-0.570052391,6893
0,0,0,0,0,0,0,0,1,0,1532,0,9,3,5,-1.068345066,-1.030753369,7240
0,1,0,0,0,0,0,0,0,0,1532,0,3,4,2,-0.874482445,-1.010867524,3898
0,0,1,0,0,0,0,0,0,0,621,0,3,4,2,-1.540358405,-1.37647912,4049
0,0,0,1,0,0,0,0,0,0,2368,1,15,6,5,1.359152101,1.130302135,10262
0,0,0,0,0,0,1,0,0,0,381,0,21,3,3,-1.270636497,-1.156991311,3332
0,0,0,1,0,0,0,0,0,0,979,1,9,6,6,1.300150434,0.718014982,10844
0,0,0,1,0,0,0,0,0,0,1532,0,24,3,6,-0.056887913,-1.050942868,7229
0,0,0,1,0,0,0,0,0,0,979,1,6,5,0,0.558415188,1.401179325,13941
0,0,1,0,0,0,0,0,0,0,2368,1,27,6,3,-0.217035296,0.115412975,5894
0,0,0,0,1,0,0,0,0,0,2368,1,18,5,5,-0.419326726,0.168505088,10197
0,0,0,1,0,0,0,0,0,0,341,1,6,3,2,1.241148767,1.329934383,13712
0,0,1,0,0,0,0,0,0,0,145,1,24,6,0,-1.590931262,-0.497245704,5636
0,0,0,1,0,0,0,0,0,0,179,2,6,6,3,0.53312876,1.099745492,13014
0,0,0,1,0,0,0,0,0,0,979,1,1,4,0,-0.242321725,0.447280849,7064
0,0,0,1,0,0,0,0,0,0,565,1,24,5,4,1.544585913,1.029984091,10703
0,0,0,0,1,0,0,0,0,0,326,1,27,5,0,-0.065316723,0.07210258,9646
0,0,0,0,1,0,0,0,0,0,2368,1,6,3,2,-0.99248578,0.301579921,17057
0,0,0,1,0,0,0,0,0,0,341,1,12,3,1,1.140003052,0.982666069,13817
1,0,0,0,0,0,0,0,0,0,45,2,6,3,2,-0.394040298,0.558596877,13748
1,0,0,0,0,0,0,0,0,0,723,0,21,4,6,0.018971373,-1.07145037,4880
0,0,1,0,0,0,0,0,0,0,381,0,21,6,4,-1.565644833,-1.113482759,3540
0,0,0,0,0,0,1,0,0,0,1532,0,15,5,2,-1.472927928,-1.050942868,3257
0,0,0,1,0,0,0,0,0,0,1532,0,3,6,0,-0.031601484,-0.971954528,6478
0,0,0,1,0,0,0,0,0,0,621,0,18,6,1,-1.481356737,-1.403994763,8040
0,0,0,1,0,0,0,0,0,0,38,2,12,6,2,1.359152101,0.894126038,14300
0,0,0,1,0,0,0,0,0,0,979,1,15,5,2,-0.242321725,0.447280849,14781
0,0,0,1,0,0,0,0,0,0,979,1,9,6,6,0.920854002,0.437804109,14939
0,0,0,1,0,0,0,0,0,0,2368,1,24,6,0,0.53312876,-0.169324311,10262
1,0,0,0,0,0,0,0,0,0,65,1,12,5,6,1.561443532,1.553347146,6528
1,0,0,0,0,0,0,0,0,0,1532,0,1,5,2,-1.439212689,-1.030753369,6121
0,0,0,1,0,0,0,0,0,0,179,2,18,5,5,0.53312876,0.02800453,13029
0,0,0,0,1,0,0,0,0,0,2368,1,27,3,2,-0.436184346,-0.218403917,11421
0,0,0,0,1,0,0,0,0,0,2368,1,27,3,2,-0.394040298,0.683312141,7574
1,0,0,0,0,0,0,0,0,0,37,2,9,5,3,2.03345687,2.038636265,11596
0,0,0,1,0,0,0,0,0,0,132,2,24,5,4,2.008170441,1.205546023,15129
0,0,0,1,0,0,0,0,0,0,341,1,18,3,0,0.600559236,0.735220174,13555
0,0,1,0,0,0,0,0,0,0,1532,0,12,4,4,-0.1327472,-0.99127203,5780
0,0,0,0,0,0,0,0,1,0,565,1,12,5,6,1.005142098,0.494191461,9397
0,0,0,1,0,0,0,0,0,0,2368,1,6,3,2,0.53312876,0.18943153,17024
0,1,0,0,0,0,0,0,0,0,2368,1,27,6,3,-1.034629828,-0.413481802,5281
0,0,0,0,1,0,0,0,0,0,326,1,18,5,5,-0.065316723,0.777819539,10348
1,0,0,0,0,0,0,0,0,0,145,1,6,3,2,1.038857336,0.844798402,12677
0,0,0,0,1,0,0,0,0,0,2368,1,3,3,6,0.246549233,0.18943153,15147
0,0,0,0,0,0,0,0,1,0,1532,0,12,6,2,-1.363353403,-1.050942868,4668
0,0,0,1,0,0,0,0,0,0,2368,1,9,5,3,-0.419326726,0.399570905,15554
0,0,0,0,0,0,1,0,0,0,1532,0,9,4,1,-1.472927928,-1.050942868,3971
1,0,0,0,0,0,0,0,0,0,621,0,3,5,4,-0.680619824,-1.403994763,3100
0,0,0,1,0,0,0,0,0,0,979,1,6,5,0,1.106287813,0.63936771,9663
0,0,1,0,0,0,0,0,0,0,381,0,12,5,6,-1.565644833,-1.113482759,3540
1,0,0,0,0,0,0,0,0,0,42,2,21,5,1,1.215862338,1.48492793,10676
0,0,0,1,0,0,0,0,0,0,979,1,12,6,2,0.920854002,1.045610373,13044
0,0,0,1,0,0,0,0,0,0,979,1,6,5,0,1.300150434,0.836502963,14388
0,0,1,0,0,0,0,0,0,0,1532,0,24,6,0,-1.649932929,-1.010867524,3943
0,0,1,0,0,0,0,0,0,0,381,0,3,6,0,-0.613189347,-1.135042754,3597
1,0,0,0,0,0,0,0,0,0,27,1,21,3,3,-0.33503863,-0.097706564,5932
0,0,0,1,0,0,0,0,0,0,2368,1,15,6,5,0.53312876,0.926598985,10262
0,0,0,0,0,0,0,0,1,0,213,0,12,5,6,-0.537330061,-0.934108251,6216
0,0,1,0,0,0,0,0,0,0,723,0,15,6,5,0.002113754,-1.030753369,4804
0,0,0,0,1,0,0,0,0,0,2368,1,21,5,1,0.238120423,0.630501155,14067
0,0,0,1,0,0,0,0,0,0,132,2,18,5,5,2.008170441,1.539759505,15129
0,0,0,1,0,0,0,0,0,0,40,2,6,6,3,0.53312876,1.358596467,13376
1,0,0,0,0,0,0,0,0,0,44,2,27,6,3,2.03345687,1.322733942,10441
0,0,0,1,0,0,0,0,0,0,1532,0,24,5,4,-1.456070308,-1.030753369,4030
0,0,0,1,0,0,0,0,0,0,2368,1,3,3,6,-0.436184346,0.271469293,17024
0,0,0,0,1,0,0,0,0,0,2368,1,9,4,1,0.238120423,-0.097706564,13017
0,1,0,0,0,0,0,0,0,0,979,1,6,6,3,0.870281144,-0.062737327,6686
0,0,1,0,0,0,0,0,0,0,145,1,15,6,5,-1.590931262,-0.497245704,5636
0,0,1,0,0,0,0,0,0,0,326,1,9,6,6,-0.705906253,-0.016925779,6442
0,0,0,0,1,0,0,0,0,0,326,1,21,5,1,0.179118756,0.389929339,9486
0,0,0,1,0,0,0,0,0,0,979,1,21,5,1,2.47175497,1.83483194,10844
0,0,0,1,0,0,0,0,0,0,38,2,3,6,0,0.53312876,-0.03971815,15318
1,0,0,0,0,0,0,0,0,0,145,1,3,4,2,1.038857336,1.293790012,5117
0,0,1,0,0,0,0,0,0,0,231,1,24,6,0,-0.318181011,-0.600021509,6147
0,0,0,0,1,0,0,0,0,0,2368,1,9,6,6,-0.217035296,-0.074334113,7005
0,0,0,0,0,0,1,0,0,0,723,0,3,4,2,0.153832327,-1.135042754,3873
0,0,0,1,0,0,0,0,0,0,26,2,21,3,3,1.991312822,1.587111257,9270
0,1,0,0,0,0,0,0,0,0,1532,0,27,6,3,-0.874482445,-1.010867524,3898
0,0,0,1,0,0,0,0,0,0,979,1,12,5,6,-0.242321725,0.447280849,14781
0,0,0,1,0,0,0,0,0,0,979,1,24,5,4,0.920854002,0.437804109,8586
1,0,0,0,0,0,0,0,0,0,13,2,9,5,3,0.887138763,1.519288649,10697
0,0,0,1,0,0,0,0,0,0,38,2,27,6,3,1.359152101,0.894126038,14300
0,0,1,0,0,0,0,0,0,0,1532,0,3,3,6,-0.141176009,-1.010867524,8855
0,0,0,1,0,0,0,0,0,0,979,1,12,5,6,1.932311155,1.693263569,10844
0,0,0,1,0,0,0,0,0,0,2368,1,6,3,2,0.53312876,1.725869668,17024
0,0,0,1,0,0,0,0,0,0,565,1,1,5,2,1.544585913,1.928673008,9314
0,0,1,0,0,0,0,0,0,0,1532,0,24,3,6,-1.995514123,-1.030753369,4777
1,0,0,0,0,0,0,0,0,0,50,1,9,6,6,1.426582578,1.653786026,7662
0,0,1,0,0,0,0,0,0,0,326,1,9,5,3,-0.705906253,0.083002367,6442
0,0,0,0,0,0,1,0,0,0,42,1,12,6,2,-1.000914589,-0.661551892,5264
0,0,0,1,0,0,0,0,0,0,2368,1,27,5,0,0.53312876,0.777819539,12898
1,0,0,0,0,0,0,0,0,0,621,0,3,3,6,-0.78176554,-1.37647912,6092
0,0,0,0,0,0,1,0,0,0,1532,0,21,5,1,-1.472927928,-1.050942868,3311
0,0,0,1,0,0,0,0,0,0,2368,1,27,3,2,0.53312876,0.061153583,6540
0,0,1,0,0,0,0,0,0,0,1532,0,27,5,0,-1.911226027,-1.030753369,3419
0,0,0,1,0,0,0,0,0,0,2368,1,3,4,2,1.359152101,1.436299521,5177
1,0,0,0,0,0,0,0,0,0,213,0,18,4,3,-0.200177677,-0.952903513,8246
0,0,0,1,0,0,0,0,0,0,565,1,9,6,6,-0.208606486,0.351019322,14676
0,0,0,0,1,0,0,0,0,0,2368,1,27,6,3,-0.217035296,0.104656928,13587
0,0,0,1,0,0,0,0,0,0,979,1,6,5,0,1.030428527,0.428295079,9663
0,0,0,1,0,0,0,0,0,0,979,1,12,6,2,1.106287813,0.990598908,13044
0,0,1,0,0,0,0,0,0,0,2368,1,3,4,2,0.238120423,-0.555255163,5073
